Item Name,Description
Aquamarine Amulet,"Though his magic was strong, my resolve was stronger. The spirit dissipated and all that remained was the treasure within."
Sand Wanderer Trickster Skin,
Candy Ring,"A high-fructose ring that will give you pep, but hurt your concentration."
Candy-Coated Armor,Reinforced with magical hard candy from the candy forest. Sticky but strong.
Bubblegum Bucket,No one would dare question your dominance of the Hunting Grounds while wearing the remains of a decapitated gumball machine.
Pixie-Enchanted Sword,Pixies are often a more aggressive fae. It makes great sense that they would provide heroes with swords as fine as this.
Seal of the Enchanted Forest,"Protect the helpless, embolden the heroic, slow the progress of evil. - Inscription, in Fae."
Fairy Plate,"This colorful platemail is enchanted with special protections, a gift from the kind fairies that dwell in the Realm."
Ring of Pure Wishes,Many do not realize how powerful a kind wish is.
Mini Desire Troll Pet Skin,
Peppermint Snail Pet Skin,
Bottled Medusozoan,"A youthful jellyfish taken from the reefs of the ocean realms, residing within a coralglass jar."
Cnidaria Rod,An intricate scepter of unfathomable power containing the electric fluids of a jellyfish behemoth.
Jellyhead Trickster Skin,
Fungal Breastplate,"The fungus covering this armor has eaten away all the metal. While offering little protection, its restorative powers make this armor unique."
Crystallized Worm Spellblade,"The worms of the Crystal Caverns are capable of surviving indefinitely so long as their heads remain intact. The affixation of this particular worm’s head onto a quarterstaff prevents it from regenerating the rest of its body and causes it to angrily lash out, biting anything brought near it."
Crystal Shield,"An ornately decorated buckler made from an array of crystalline stone. It is too frail to swing around, but it can somehow grow and mantle its wielder in a heavy crystal armor that releases shards upon recieving trauma."
Sporous Spray Spell,"An ancient druidic spell that invokes earth spirits into furnishing the soil with a noxious, deadly skullshroom colony."
Tome of the Mushroom Tribes,"A long-lost druid’s tome that catalogs medicinal mushrooms. It also has many pocket spaces that contain spore samples, which can be made fully grown through incantations."
Cave Dweller Trap,A ceremonial trap used by the elite members of the Mushroom Tribes to ensnare those who trespass their sacred sanctum.
Ring of Decades,"Cut from a fallen star, a deep purple emanating an unearthly glow, hinting at the power fused within."
Crystalline Sigil,An incredibly complex and durable crystalline structure appears on this pendant where a druid might expect the representation of an animal. Familiarising oneself with its forms is incredibly difficult but druids who succeed find themselves to be unbreakable walls against all forms of threat.
Quartz Cutter,"Though its composition is merely a sharp crystal embedded in a rock, this naturally formed blade glistens with light, carving a path for its wielder to use."
Crystalline Kunai,These kunai were chiseled as an experimental weapon by the mineral monsters lurking far beneath the realm’s surface.
Luminous Armor,"A devastating fracture in the center of this breathtaking armor tarnished its raw defensive abilities, but the dubious blessing of the Crystal Entity still allows it to aid the wearer in other ways."
Radiant Heart,What serves as the life support for all of the artificial creatures constructed by the Crystal Entity is also capable of bestowing strength and energy to organic life.
Irradiance Sheath,"Believed to be some kind of artificial organ, this sheath embeds the weapon in a solid crystal coating before violently fracturing into shrapnel when drawn."
Fractal Blades,"An impossible intracate pattern belies these blades, carved from a self-perfecting crystalline deity."
Cloak of Refraction,"This heavy cloak cleverly conceals its user not by magic, but by channeling the light around them as camouflage. Tampering with this light briefly projects a false mirror image of oneself."
Echoes Prism,"A fragmented prism that is constantly mending its cracks and refracturing. When agitated, it ejects volatile shards towards the source until each fragment spirals back into equilibrium."
Fractured Gemstone Wakizashi,"Carved from the unblemished minerals deep beneath the realm, this unconventional wakizashi fractures itself when swung to release a strange supernatural energy."
Star of Enlightenment,A perfectly cut crystal encasing light from the oldest stars in the universe. All who hold it are filled with a sense of peace and concentration.
Crystallised Mist,This strange trinket creates a cloud of crystaline particles rendering anyone inside invisible.
Crystal Cobra Pet Skin,
Wand of Hidden Knowledge,Legend has it that this wand was written into existence by a book that wrote itself.
Necronomicon,"A tattered tome possessing the forbidden knowledge of pagan priests of old. It speaks of casting terrible curses upon opponents, but such impure power comes at a cost."
Scholar's Seal,A symbolic seal gifted to the most renowned philosophers of ancient times.
Ronin's Wakizashi,"An artifact once wielded by a wandering samurai with no master to serve. It was preserved in the Cursed Library for historical purposes, but it remains just as deadly despite its age."
Corruption Cutter,A fragment of Lord Ruthven’s curse manifest itself into this pulsating dagger. Its formless state allows it to cut in ways no other weapon could.
Deathless Crossbow,"Distinguished archers are permitted to take their prized bow with them to the afterlife. It conjures ethereal arrows when drawn, penetrating the very souls of living beings."
Quiver of Shrieking Specters,"A quiver not meant for the corporeal realm. When used by a mortal, it creates a momentary rift between death and life, briefly releasing the chilling screams of the lost."
Wraith's Brigandine,An enduring garment of spectral steel worn by the shades of the shadows.
Revenant Ring,An otherworldly gemstone is set in this oddly tight ring. It does not seem designed for human fingers.
Cultured Bookwyrm Pet Skin,
Enlightened Bookwyrm Pet Skin,
Quartermaster Scabbard,"A foreign sheath stolen from unknown lands by the crew of Davy Jones. Now phantoms, the headstrong ghost pirates have misused this delicate instrument as a rapier holder, twisting its effects with their chaotic ways."
Spirit Dagger,A dagger that was condemned to Davy Jones’ Locker.
Ghostly Prism,A cursed piece of Davy Jones’ treasure. Using it leaves behind a deadly spirit bomb.
Spectral Cloth Armor,A ghostly fabric from the other side.
Captain's Ring,Captain Davy Jones’ ring.
Pearl Necklace,A treasure from Davy Jones’ Locker.
Golden Chalice,A treasure from Davy Jones’ Locker.
Ruby Gemstone,A treasure from Davy Jones’ Locker.
Spirit Pet Skin,
Lil' Davy Pet Skin,
Pirate King's Cutlass,"Used only by the pirates who would make themselves kings, this cutlass is said to be cursed as each Pirate King seems to be killed rather unexpectedly."
Wavecrest Concertina,A rather peculiar instrument played by the sailors of the seven seas. Its music has the unique property of attracting parrots that will obey the musician’s every command.
Swashbuckler's Sickle,A clumsy yet vicious weapon favored by marauders from coast to coast. Only an experienced pirate king can perform the techniques required to unlock its full potential.
Tricorne of the High Seas,Pirate captains wear extravagant cocked hats to both inspire their men and intimidate their foes.
Naval Uniform,"The buccaneers that raided the realm before Oryx’s rule famously wore such attire. Its opulence does not make for the most practical choice when sailing, but it was valued as a status symbol."
First Mate's Hook,"Less prominent pirates use personal hooks to signify their rank. Though this one is almost entirely symbolic on its own, no true pirate is complete without one."
Calamity Crab Pet Skin,
Soul's Guidance,"A crude walking stick enchanted by Skuld’s distinct style of sorcery, constructed to guide fallen spirits to the afterlife."
Plague Poison,"A foul poison harvested from the corpses of plague victims. It infects many targets, but kills slowly."
Resurrected Warrior's Armor,A worn and battered suit of armor embedded with a mystic gem that flows with magical strength.
Amulet of Dispersion,"A historical amulet that has been passed down for generations. Although once cursed in the past, it still holds a hint of its ancient power."
Etherite Dagger,Made of a strange metal not known to the living. Its connection to the spirit plane causes a high pitched shriek as it slashes.
Ghastly Drape,"Woven from the skin of a ghast, Skuld’s ability to freely shift between the mortal and spiritual plane is linked to this cloak’s unusual fabric."
Mantle of Skuld,"With little need for conventional armor, Skuld prefers to empower her magic arts even further."
Spectral Ring of Horrors,The charm embedded into this ring grants the power to absorb and redirect souls for placement in the afterlife.
Werewolf Cub Pet Skin,
B.O.W.,"The arrows of this grotesque bow are laced with an inverted energy, causing shots to lose velocity and create brief barriers."
S.T.A.F.F.,"Dr. Terrible modeled this staff in the likeness of his creation as an experimental attachment to the M.E.R.V. design. To prevent overheating, the unstable energy discharges require a moment to cool."
Q.U.I.V.E.R.,"Firing from this quiver uniquely applies the force of the bowstring as potential energy, which is then overcharged and converted to kinetic energy for a delayed, yet intensly powerful release."
S.H.E.A.T.H.,This lightwave blade is carefully attuned to madness harmonics in a revolutionary attempt to remotely blast any region with the fury of the F.E.R.A.L.’s energy attack.
E.Y.E.,"The gouged eye of the ferocious F.E.R.A.L. It is no longer potent enough to generate energy beams, but the beast’s psychic vision still instinctively lashes back at aggressors."
C.L.A.W.,"A highly versatile tool modified from what was once just a vial holder. It can extend and retract, tighten for wrench functions, and shoot energy blasts. All the usual tools for science!"
B.O.O.M.,Development of this compact M.E.R.V. took an explosive turn.
A.R.M.O.R.,"Not to be confused with a more traditional lab coat, this robe is steeped in chemicals to protect from radiation. This same substance surrounds the labratory’s protective A.E.G.I.S. system."
C.O.N.T.R.O.L.L.E.R.,This feat of technology enables approved users to control all primary functions of the lab facility and access otherwise encrypted data.
Blizzard Pet Skin,
Staff of Esben,"Perhaps all that remains of Esben, whoever he was. Sprite Credits: Pfiffel"
Skullish Remains of Esben,The skull still seems to contain some of the Void Entity’s power.
Esben's Vows,A hardy slab of ice wounded with crude markings on its surface. Passionate wedding vows are faintly readable.
Ase's Echo,A fragmented prism that is constantly mending its cracks and refracturing. Pulling pieces apart can create an unstable link between two spaces as the prism tries to become whole again.
Esben's Wedding Ring,A memento of a life long gone. You can still feel the warmth from years past through the frigid ice that has taken over.
Esben's Twisted Heart,"The frostbitten winds whisper her name, and the blades sing of her sorrow."
Esben's Shaman Attire,"A glacial robe worn by the witch doctors of a bygone ice tribe during their sacred burial ceremonies. The passage of time has encased the cloth in a layer of permafrost, chilling those who fracture its coat."
Dalvar's Battle Axe,"Elite Viking warriors and guards were given these great battle axes to use in combat. The mighty Dalvar, strongest of all the Vikings, was known to cut through enemy defenses with this finely balanced weapon."
Sunken Buckler,"Recovered from the wreckage of a Viking ship, this large buckler can strike unlike any other shield. It can sustain the force of its strike in the air itself, uniquely constructed to mimic the Viking tale of Thielief the Steadfast catching a relic suspended in the air during a raid of saintly territory."
Chainmail Body Armor,"Painstakingly forged through an immeasurable amount of iron rings linked together, this armor allows its wearer to remain more agile and flexible than traditional armors. The speed rivals that of the legendary Viking Diggsun, whose tide-turning charge on the edge of the battlefield won a great war."
Gjallarhorn,"A ceremonial horn gifted to the Vikings from their ancient gods. Blowing it is said to temporarily bestow to the owner the power of Odin, known by some northern clans as Zimmer."
Heartsteel Claymore,"The harbinger will tread through the Tundra, uncaring of the life that may have ended at the hands of the deepsteel blade."
Symbol of the Lost,"To whom this symbol belonged, and what it may have represented, remains a mystery. It serves as a grim reminder of the world unobserved, cloaked in the endless snow."
Hull of the Tundra,"The armor from the pitiful resistance was absorbed into this endless deepsteel plate. As the blizzard rages on, the plates grow ever more dense."
Frozen Heart,"In the white wastes, Squall answers no prayers, spares no lives, and grants no solace."
Iceborn Arsenal,"The harbinger will tread through the Tundra, uncaring of the life that may have ended at the hands of the deepsteel blade."
Sublimation Sidearm,"The Harbinger’s power was used to sublimate icicles along this blade, sending many sharp projectiles towards potential foes. He would soon learn that this was useful against more than just those who would oppose the Eternal Frost."
Retainer's Battlesuit,"The suit, capable of withstanding the great cold, represented a pact between a mortal and an ever-living elemental being. Humans however, live too short lives to keep promises."
Legacy's Pendant,"Perhaps at some point, a man wore this pendant in search of something that humans could possibly offer. As the pendant lost meaning, it became a reminder that what he sought was not of mortal nature."
Overclocking Amulet,"Placing this trinket into an appropriate slot found on Steamworks machines activates their overclock drastically increasing output. The increased speed causes a greater amount of wear on the parts of the machine, usage of this item is only authorized to higher ranking Kogbolds."
Steam Pipe,"Efforts by lower workers of the kogbolds to arm themselves against invaders has resulted in various interesting crudely made armaments. Fashioned from the boiler of a steam generator, this staff projects its scalding vapors towards a target, cooking them alive."
Kogbold Cower Shield,A large sheet of plating intended to be used as a blast shield in explosives testing. When confronted with intruders some of the more cowardly Kogbolds choose to use them to protect themselves while fleeing.
Chain Dagger,"Of all the tools found on Kogbold excavation bots, none is more versatile than the KI225 Chain Cutter. Useful for cutting through unwanted obstructions ranging anything from stone to flesh."
Laser Pointer,"Early prototype versions of the KI470 Laser pointing device came with no inbuilt limiter on their power output. First batch testing resulted in many schematics cut clean in half, as well as multiple layers of steel wall."
Scepter of Rust,"This electrical rod is actually used to remove rust from machine parts through electrolysis. When used on a living or artificial creature however, the shock causes muscles to tense and circuits to go haywire, reducing the assailant’s power."
Brain Cube,"The oldest forms of automatic computing built by the Kogbolds were a far cry from the self improving artificial intelligence of the modern Core designs. Though its computation capabilities are lost to time, the matrix remains conveniently effective at distributing powerful surges of energy."
Kogbold Enhancement Core,A well machined object said to give the Kogbolds their strength.
Kogbold Maid Pet Skin,
Kogbold Multitool,"The KI132 Bladed Multitool finds its way into the hands of many Kogbold Engineers sent out on expeditions. It is equipped with blades for any situation, as well as a handy pair of pliers."
Celestial Blade,An ancient weapon imbued with the power of the cosmos.
Leaf Dragon Hide Armor,Light armor crafted from the hard-as-steel leafy scales of a Leaf Dragon.
Water Dragon Silk Robe,A magic robe woven from enchanted threads of crystalline silk torn out of the water harvested from a great Water Dragon’s body.
Fire Dragon Battle Armor,"Battle armor made from Fire Dragon scales, one of the strongest substances this world has ever seen."
Midnight Star,"Legends speak of a star touched by Horizon that pierces through the light of the heavens. As eons passed, the caged tyrant sharpened broken scales like razorblades, imbuing his hatred as inky black darkness to forge a dark myth into reality."
Vision of Draconis,"As the heavens decreed, the age of dragons came swiftly to an end. Yet the gaze of the mighty watch intensely over the world, waiting for the power of Draconis to rise once again."
Draconic Insignia,This relic was once used by a secluded cult of dragon worshippers. A druid may tap into its arcane power to embrace the form of a dragon.
Hailstorm,"Tugging the bowstring fiber disrupts a delicate balance between the limbs of this bow, rapidly crystallizing the surrounding frost into a serrated bolt of hail."
Thundering Chorus,"Baneful beats of this waist-worn instrument rile the skies, invoking the occluded power of the storm."
Wind Dancer Robe,"Hardly attire of any sort, but rather a sustained cone of latent energy called forth by unseen wind spirits. Stray gusts glide beneath each step, affording both impressive speed and a thrilling lighter-than-air sensation."
Augur of the Tempest,"A breathtaking amulet believed to portend the will of the storm. The large stone within faintly swirls, as though an entire cyclone were somehow petrified by force of the earth."
Earthen Ward,"Strictly speaking, this is no wand at all, and rather blunt even for a channeling device. Yet its crude appearance belies a sophisticated tool of deterrence, a contrast very much in character for the spirits of the earth."
Stonemould Mace,"To fabricate colossi from within the earth is a rare and enviable practice, often deemed sacred. The creations of this club-like mace are too brittle for the interest of certain parties, but the proven potential is a precious thing indeed."
Rocky Robe,"The practices of the earth mages died out with their bloodline, a consequence of notoriously being rather secretive types. But the traits of this garb, hardy and unyielding, tell much of their ways."
Steadfast Glyph,"When etched into stone, this mark greatly amplifies one’s resilience, as though it echoes the earth’s power. Hollow relics like these are an oddity, as earth shamans regarded the designed permission of flowing air as a sign of severe fault."
Saif of the Deep,"In the right hands, this fluid blade lashes out with stinging water whips. Such adept control over the wild waters is thought to be a sign of great achievement for any swordsman."
Loch Sheath,Masters of swordsmanship recognize how much can be learned from the flow of the ocean’s waves.
Barrier Reef,"Reinforced coral creates a form of shock absorbing plates, a crucial trait for surviving the high pressure of the ocean floor."
Alexander's Band,"A keepsake held closely by Thessal, clinging to the unlikely chance of her king’s continued wellbeing. Any sailor knows this slim hope is all that contains the true beast of the seas."
Indomptable,"All initiates who start the path of becoming a Dragon Tamer are given a special weapon. If an initiate completes the Path alive, this weapon is given a name by the Elders."
Helm of Draconic Dominance,The last piece of the Taming ritual requires a man to be bound to a Dragon. Wizards were able to link a man to a Dragon’s spirit using magic and pain. Using its powers comes with a great cost.
Zaarvox's Heart,Made from the Heart of Zaarvox by Ulricht the first Dragon Tamer.
Amulet of Drakefyre,Given to the initiates who survive the first challenge.
Mini Nikao Pet Skin,
Wakizashi of Crossing Fires,A blade created within the Hellforge and enchanted with dark magics to grant its wielder the power of a demon king.
Skull of Endless Torment,This skull glows with the stolen soul of a phoenix trapped in the skull many years ago by Shaitan.
Igneous Starblossom,"It is believed that astral stardust landed during the Primal Era, giving life to these now-extinct flowers that adapted to any environment they bloomed from. Consecrated by the infernal spirits of old, these artifacts now serve as a token of friendship with the elementals of the deep earth."
Fiery Katana,"A light powerful blade, capable of burning even the toughest opponents."
Pyro Sheath,This sheath can be a great tool in the hands of an experienced Kensei.
Flame Guard,"Made of refractory material, this heavy armor is capable of summoning a powerful creature for extra defense."
Firelight Necklace,A beautiful accessory which burns constantly to guide you through battle.
Sword of the Colossus,A sword with an impossibly sharp edge. It has been designed with holy magic to slash like no other blade.
Marble Seal,A seal made from the Marble Colossus’ head. The power of a pure and mighty paladin still remains within.
Breastplate of New Life,"A fine sheet of marble charged with the same energy that powers the Marble Colossus. What it lacks in physical durability, it makes up for with a life-breathing aura."
Magical Lodestone,"The source of power for the Marble Colossus found within his core. It is intended to give life to golems, but it can provide benefits to the living as well."
Carved Golem Remains,"A makeshift dagger hastily crafted from the debris of a fallen golem. It may be blunt, but it is also very lightweight."
Brain of the Golem,A fragment of a brain from a lesser golem. Its strength indicates it came from a Golem of Anger.
Golem Garments,Formed of the tissue surrounding a golem core.
Rusty Cuffs,"Used to bind aggressive golems. Considering they are no longer attached, they do not appear to have been very effective."
Burial Blades,Jagged obsidian and smooth malachite blades inscribed with runes and teeming with energy. The runes read as a eulogy for those lost while trying to seal a great evil.
Staff of Unholy Sacrifice,A commanding staff used by vile cult leaders. Its power manifested through countless sacrifices to the demon Molek.
Skull of Corrupted Souls,The cursed skull of a corrupted mind. Good intentions can go horribly wrong.
Ritual Robe,A thin hood with a faded golden lace worn for sacrificial ceremonies. It has an aura of evil around it.
Bloodshed Ring,A seemingly shattered ring that keeps itself together with an unknown magnetic force. It only stays together on the finger of a true killer.
Vial of Pure Darkness,An oddly heavy vial found within the undergrounds of the Lost Halls. It is said to contain the embodiment of Evil itself.
Mini Malus Sorcerer Skin,
Bow of the Void,Every shot that hits a target frees the soul of a forgotten hero. Every shot that misses is trapped for eternity.
Quiver of Shadows,A mysterious quiver formed of pure evil and dark matter. Its ethereal existence creates a small implosion of nearby atmosphere when drawn.
Armor of Nil,"This armor does not deflect projectiles like most materials known to man. It absorbs and engulfs them, sending them to a new plane of reality."
Sourcestone,Unknown.
Omnipotence Ring,An unfathomable amount of strength pulses through this ring. Only the most righteous mortals can touch this ring and live.
Conducting Wand,This wand is powerful at conducting magical energy into a devastating blast.
Scepter of Fulmination,This scepter’s blast is so powerful it will slow opponents.
Robe of the Mad Scientist,A well-worn robe used for Science!
Experimental Ring,An early prototype ring.
Abomination's Wrath,"Although destroyed, the beast’s brute strength remains deeply embedded in this odd wand. Its rage possesses you, and lends you its force."
Grotesque Scepter,A scepter that can be evoked to unleash overwhelmingly powerful blasts upon others. Even the most crazed scientists wouldn’t use this scepter without taking note of its side effects.
Garment of the Beast,"A rigid hide, chemically engineered by Dr. Terrible and reinforced with rough scales. Though torn apart during battle, it remains powerful."
Horrific Claws,"Fetid claws imbued with dangerous chemicals, pulled from the Horrific Creation."
Golden Nut,A treasure from the Mad Lab.
Golden Bolt,A treasure from the Mad Lab.
Robobuddy Pet Skin,
Spirit Staff,The souls of legendary heroes live on in this vibrant elderwood staff. It represents the ancient druidic pact to protect the domains of Fey across the Realm.
Enchantment Orb,The crystalline glass in this orb seals away an ancient flora said to rejuvenate the spirit and unleash one’s force of will against those who threaten the wild.
Woodland Robe,"The evergreen plant fibers woven into this robe pulse with an unusual vibrance. Consecrated in the magic of the forest, this garment lifts your steps and emboldens your mind."
Fairy Ring,The magical drop of resin fixed atop this ring is a precious keepsake of the Fey. Those who possess it are protected by an old pact formed by the keepers of the forest.
Shield of Flowing Clarity,"This shimmering shield allows knights to enhance their concentration on targets, giving them more time to think about their next move in battle."
Bergenia Bow,"Decorated with the finest flora of the realm’s toughest forests, this bow uses the sharp cymes of plant life as arrows against would-be vandalizers."
Lifebringing Lotus,"Sprouted and plucked from an ancient, enchanted riverbank, this flower’s spores weaken the roots of evil and strengthen righteous hearts."
Hollyhock Hide,"A lightweight floral coat fitted with the molted shell of a colossal insect. The energy of its evolution still pulses through, reacting upon blows."
Chrysanthemum Corsage,"Expertly carved from ancient trees and fitted together with their sap, this ring’s flowers have absorbed magical energy over many years, storing it within its fruit."
Fountain Child Pet Skin,
Bone Dagger,A dagger made of razor-sharp bone.
Kyuuketsuki Hitogoroshi,"Ruthven hid this blade in the hope none would be able to find it, for it could destroy him and his spawn in a single slash."
St. Abraham's Wand,A wand made from a brilliant white cross designed to ward off evil.
Tome of Purification,"An ancient tome cloaked in white leather, created to aid in the struggle against the ultimate evil."
Chasuble of Holy Light,An ornate robe worn by servants of the faith.
Ring of Divine Faith,A ring that symbolizes divine might.
Soulcursed Scythe,A two-faced blade enchanted with the wicked power of immortal beings.
Vampiric Cape,A dark and flowing cape donned by masters of the twilight hours.
Hallowed Hide,"The hide of a false creature given sentience by profane life-twisting magic, forever cursed as an affront to the laws of mortal life."
Ruthven's Rosary,"A ruby-beaded necklace, carried by the cadaverous followers of Lord Ruthven."
Golden Candelabra,A treasure from the Manor of the Immortals.
Holy Cross,A treasure from the Manor of the Immortals.
Vampire Lord Skin,
Sage's Wakibiki,"A worn plate from the Sage’s armor. Its outwardly poor condition belies a strange, revitalizing effect still flowing within."
Ethereal Happi,"A festival coat woven from thin, spiritual threads. It allows the user to skirt the spirit realm in search of their destination."
Flowering Kimono,"A beautiful set of ornate ceremonial robes, filled with the energy benevolent spirits from long ago."
Rain Maker,"A sodden artifact held by Genji to stir nearby moisture into a torrent of localized rain. Only the Sage can extract its full potential, gracefully guiding the morning dew into a lasting downpour."
Taiko Drums,The drum whose every beat carries with it the energy and rhythm of Kaguya. A mortal sounding this mystical instrument bears both order and disarray.
Elegant Parasol,"The ornate umbrella carried by the gracious Miko. It never goes out of fashion, regardless of the season."
Makakoyumi,"A bow believed to have only been fired in dissent against the heavens. In retribution, the empyrean rulers have cursed this device to tether its wielders in shackles of divine light."
Tezutsu Hanabi,"These fireworks are a mere fraction of Umi’s spectacular stockpile. Locals believed they held the power to ward off evil spirits, whilst bringing peace and prosperity to its celebrants."
Kagenohikari,An ethereal lantern charged with the hundreds of hopes and memories of bygone souls. Its light seeks to guide and protect those still dwelling within the mortal plane.
Concentrated Soul Fire,Pure soul energy that burns bright in the fires of the forge.
Master Fishing Rod,A fishing rod used by master fishers. It requires skill and precision to use to its full potential.
Expert Fishing Rod,A fishing rod with a steel alloy frame. Its light weight allows for faster casting.
