Loot Type,Item Name,Points
Item,Golden Chalice,0
Item,Ruby Gemstone,0
Skin,Spirit Pet Skin,0
Skin,Lil' Davy Pet Skin,0

White or ST,Pirate King's Cutlass,5.5
White or ST,Wavecrest Concertina,5.5
White or ST,Pirate King's Cutlass (shiny),11
White or ST,Wavecrest Concertina (shiny),11
White or ST,Swashbuckler's Sickle,5.5
White or ST,Tricorne of the High Seas,5.5
White or ST,Naval Uniform,5.5
White or ST,First Mate's Hook,5.5
Skin,Calamity Crab Pet Skin,0

White or ST,Soul's Guidance,4.5
White or ST,Plague Poison,4.5
White or ST,Resurrected Warrior's Armor,4.5
UT,Amulet of Dispersion,0
White or ST,Soul's Guidance (shiny),9
White or ST,Plague Poison (shiny),9
White or ST,Resurrected Warrior's Armor (shiny),9
UT,Amulet of Dispersion (shiny),0
White or ST,Etherite Dagger,4.5
White or ST,Ghastly Drape,4.5
White or ST,Mantle of Skuld,4.5
White or ST,Spectral Ring of Horrors,4.5
Skin,Werewolf Cub Pet Skin,0

White or ST,B.O.W.,6.5
White or ST,S.T.A.F.F.,6.5
White or ST,Q.U.I.V.E.R.,6.5
White or ST,S.H.E.A.T.H.,6.5
White or ST,E.Y.E.,6.5
White or ST,B.O.W. (shiny),13
White or ST,S.T.A.F.F. (shiny),13
White or ST,Q.U.I.V.E.R. (shiny),13
White or ST,S.H.E.A.T.H. (shiny),13
White or ST,E.Y.E. (shiny),13
White or ST,C.L.A.W.,6.5
White or ST,B.O.O.M.,6.5
White or ST,A.R.M.O.R.,6.5
White or ST,C.O.N.T.R.O.L.L.E.R.,4.0
Skin,Blizzard Pet Skin,0

White or ST,Staff of Esben,7.0
White or ST,Skullish Remains of Esben,7.0
White or ST,Esben's Vows,7.0
White or ST,Ase's Echo,7.0
White or ST,Esben's Wedding Ring,7.0
White or ST,Esben's Twisted Heart,7.0
White or ST,Esben's Shaman Attire,7.0
White or ST,Ase's Echo (shiny),14
White or ST,Esben's Twisted Heart (shiny),14
White or ST,Esben's Shaman Attire (shiny),14
White or ST,Dalvar's Battle Axe,7.0
White or ST,Sunken Buckler,7.0
White or ST,Chainmail Body Armor,7.0
White or ST,Gjallarhorn,7.0
White or ST,Heartsteel Claymore,7.0
White or ST,Symbol of the Lost,7.0
White or ST,Hull of the Tundra,7.0
White or ST,Frozen Heart,7.0
White or ST,Iceborn Arsenal,7.0
White or ST,Sublimation Sidearm,7.0
White or ST,Retainer's Battlesuit,7.0
White or ST,Legacy's Pendant,7.0

White or ST,Overclocking Amulet,8.0
White or ST,Steam Pipe,8.0
White or ST,Kogbold Cower Shield,8.0
White or ST,Chain Dagger,8.0
White or ST,Laser Pointer,8.0
White or ST,Scepter of Rust,8.0
White or ST,Brain Cube,8.0
White or ST,Kogbold Enhancement Core,8
White or ST,Overclocking Amulet (shiny),16
White or ST,Steam Pipe (shiny),16
White or ST,Chain Dagger (shiny),16
White or ST,Laser Pointer (shiny),16
White or ST,Scepter of Rust (shiny),16
White or ST,Brain Cube (shiny),16
White or ST,Kogbold Enhancement Core (shiny),16
Skin,Kogbold Maid Pet Skin,0
White or ST,Kogbold Multitool,9.5
White or ST,Kogbold Multitool (shiny),19

White or ST,Celestial Blade,6.0
White or ST,Leaf Dragon Hide Armor,6.0
White or ST,Water Dragon Silk Robe,6.0
White or ST,Fire Dragon Battle Armor,6.0
White or ST,Midnight Star,6.0
White or ST,Vision of Draconis,6.0
White or ST,Draconic Insignia,6
White or ST,Celestial Blade (shiny),12
White or ST,Leaf Dragon Hide Armor (shiny),12
White or ST,Water Dragon Silk Robe (shiny),12
White or ST,Fire Dragon Battle Armor (shiny),12
White or ST,Midnight Star (shiny),12
White or ST,Vision of Draconis (shiny),12
White or ST,Hailstorm,6.0
White or ST,Thundering Chorus,6.0
White or ST,Wind Dancer Robe,6.0
White or ST,Augur of the Tempest,6.0
White or ST,Earthen Ward,6.0
White or ST,Stonemould Mace,6.0
White or ST,Rocky Robe,6.0
White or ST,Steadfast Glyph,6.0
White or ST,Saif of the Deep,6.0
White or ST,Loch Sheath,6.0
White or ST,Barrier Reef,6.0
White or ST,Alexander's Band,6.0
White or ST,Indomptable,6.0
White or ST,Helm of Draconic Dominance,6.0
White or ST,Zaarvox's Heart,6.0
White or ST,Amulet of Drakefyre,6.0
Skin,Mini Nikao Pet Skin,0

White or ST,Wakizashi of Crossing Fires,6.0
White or ST,Skull of Endless Torment,6.0
White or ST,Igneous Starblossom,6.0
White or ST,Skull of Endless Torment (shiny),12
White or ST,Igneous Starblossom (shiny),12.0
White or ST,Fiery Katana,6.0
White or ST,Pyro Sheath,6.0
White or ST,Flame Guard,6.0
White or ST,Firelight Necklace,6.0

White or ST,Sword of the Colossus,8.0
White or ST,Marble Seal,8.0
White or ST,Breastplate of New Life,8.0
White or ST,Magical Lodestone,8.0
White or ST,Sword of the Colossus (shiny),16
White or ST,Marble Seal (shiny),16
White or ST,Breastplate of New Life (shiny),16.0
White or ST,Carved Golem Remains,8.0
White or ST,Brain of the Golem,8.0
White or ST,Golem Garments,8.0
White or ST,Rusty Cuffs,8.0

White or ST,Burial Blades,7.0
White or ST,Staff of Unholy Sacrifice,7.0
White or ST,Skull of Corrupted Souls,7.0
White or ST,Ritual Robe,7.0
White or ST,Bloodshed Ring,7.0
White or ST,Staff of Unholy Sacrifice (shiny),14
White or ST,Burial Blades (shiny),14
White or ST,Skull of Corrupted Souls (shiny),14
White or ST,Ritual Robe (shiny),14
Item,Vial of Pure Darkness,0
Skin,Mini Malus Sorcerer Skin,0

White or ST,Bow of the Void,8.5
White or ST,Quiver of Shadows,8.5
White or ST,Armor of Nil,8.5
White or ST,Sourcestone,8.5
White or ST,Omnipotence Ring,8.5
White or ST,Bow of the Void (shiny),17
White or ST,Quiver of Shadows (shiny),17
White or ST,Armor of Nil (shiny),17

White or ST,Conducting Wand,4.0
White or ST,Scepter of Fulmination,4.0
White or ST,Robe of the Mad Scientist,4.0
White or ST,Experimental Ring,4.0
White or ST,Conducting Wand (shiny),8
White or ST,Scepter of Fulmination (shiny),8
White or ST,Robe of the Mad Scientist (shiny),8
White or ST,Experimental Ring (shiny),8
White or ST,Abomination's Wrath,4.0
White or ST,Grotesque Scepter,4.0
White or ST,Garment of the Beast,4.0
White or ST,Horrific Claws,4.0
Item,Golden Nut,0
Item,Golden Bolt,0
Skin,Robobuddy Pet Skin,0

White or ST,Spirit Staff,3.0
White or ST,Enchantment Orb,3.0
White or ST,Woodland Robe,3.0
White or ST,Fairy Ring,3.0
White or ST,Shield of Flowing Clarity,3.0
White or ST,Spirit Staff (shiny),6.0
White or ST,Enchantment Orb (shiny),6
White or ST,Fairy Ring (shiny),6.0
White or ST,Woodland Robe (shiny),6
White or ST,Shield of Flowing Clarity (shiny),6
White or ST,Bergenia Bow,3.0
White or ST,Lifebringing Lotus,3.0
White or ST,Hollyhock Hide,3.0
White or ST,Chrysanthemum Corsage,3.0
Skin,Fountain Child Pet Skin,0

White or ST,Bone Dagger,4.0
White or ST,Kyuuketsuki Hitogoroshi,4.0
White or ST,St. Abraham's Wand,4.0
White or ST,Tome of Purification,4.0
White or ST,Chasuble of Holy Light,4.0
White or ST,Ring of Divine Faith,4.0
White or ST,Bone Dagger (shiny),8.0
White or ST,St. Abraham's Wand (shiny),8
White or ST,Tome of Purification (shiny),8
White or ST,Chasuble of Holy Light (shiny),8
White or ST,Ring of Divine Faith (shiny),8.0
White or ST,Soulcursed Scythe,4.0
White or ST,Vampiric Cape,4.0
White or ST,Hallowed Hide,4.0
White or ST,Ruthven's Rosary,4.0
Item,Golden Candelabra,0
Item,Holy Cross,0
Skin,Vampire Lord Skin,0

White or ST,Sage's Wakibiki,9.0
White or ST,Ethereal Happi,9.0
White or ST,Flowering Kimono,9.0
White or ST,Rain Maker,9.0
White or ST,Taiko Drums,9.0
White or ST,Elegant Parasol,9.0
White or ST,Makakoyumi,9.0
White or ST,Tezutsu Hanabi,9.0
White or ST,Kagenohikari,9.0
White or ST,Concentrated Soul Fire,9
White or ST,Makakoyumi (shiny),18
White or ST,Master Fishing Rod,9
UT,Expert Fishing Rod,0
UT,Intermediate Fishing Rod,0
Item,Mysterious Crate,0
Skin,Festival Enjoyer Kensei,0
Skin,Festival Enjoyer Bard,0

White or ST,Wand of the Fallen,6.0
White or ST,Orb of Aether,6.0
White or ST,Jade Storm,6.0
White or ST,Kaiken,6.0
White or ST,Wand of the Fallen (shiny),12
White or ST,Orb of Aether (shiny),12
White or ST,Jade Storm (shiny),12
White or ST,Kaiken (shiny),12
White or ST,Kazekiri,6.0
White or ST,Ryu's Blade,6.0
White or ST,Kamishimo,6.0
White or ST,Akuma's Tear,6.0
Skin,Possessed Lantern Pet Skin,0

White or ST,Coral Bow,5.0
White or ST,Coral Venom Trap,5.0
White or ST,Coral Silk Armor,5.0
White or ST,Coral Ring,5.0
White or ST,Sharktooth Sigil,5
White or ST,Coral Bow (shiny),10
White or ST,Coral Venom Trap (shiny),10
White or ST,Coral Silk Armor (shiny),10
White or ST,Coral Ring (shiny),10.0
White or ST,Tideturner Trident,5.0
White or ST,Slurpian Sea Scroll,5.0
White or ST,Oceanic Apparel,5.0
White or ST,Imperial Keepsake,5.0
Skin,Sea Slurp Skin Unlocker,0

White or ST,Ancient Stone Sword,4.5
White or ST,Spiteful Scutum,4.5
White or ST,Cloak of the Mad God,4.5
White or ST,Ancient Stone Sword (shiny),9
White or ST,Spiteful Scutum (shiny),9
White or ST,Cloak of the Mad God (shiny),9
White or ST,Theurgy Wand,4.5
White or ST,Ceremonial Merlot,4.5
White or ST,Anointed Robe,4.5
White or ST,Ring of Pagan Favor,4.5

White or ST,Tome of Holy Furor,6.0
White or ST,Oryx's Greatsword,6.0
White or ST,Champion's Bastion,6.0
White or ST,Mercy's Bane,6.0
White or ST,Bloodstone Ring,6.0

White or ST,Superior,9.5
White or ST,Genesis Spell,9.5
White or ST,Diplomatic Robe,9.5
White or ST,Chancellor's Cranium,9.5
White or ST,Superior (shiny),19
White or ST,Genesis Spell (shiny),19
White or ST,Diplomatic Robe (shiny),19
White or ST,Chancellor's Cranium (shiny),19
White or ST,Avarice,9.5
White or ST,Gambler's Fate,9.5
White or ST,Turncoat Cape,9.5
White or ST,Collector's Monocle,9.5
White or ST,Avarice (shiny),19
White or ST,Gambler's Fate (shiny),19
White or ST,Turncoat Cape (shiny),19
White or ST,Collector's Monocle (shiny),19
White or ST,Lumiaire,9.5
White or ST,Chaotic Scripture,9.5
White or ST,Vesture of Duality,9.5
White or ST,Divine Coronation,9.5
White or ST,Lumiaire (shiny),19
White or ST,Chaotic Scripture (shiny),19
White or ST,Vesture of Duality (shiny),19
White or ST,Divine Coronation (shiny),19
White or ST,Enforcer,9.5
White or ST,Ballistic Star,9.5
White or ST,Centaur's Shielding,9.5
White or ST,Battalion Banner,9.5
White or ST,Enforcer (shiny),19
White or ST,Ballistic Star (shiny),19
White or ST,Centaur's Shielding (shiny),19
White or ST,Battalion Banner (shiny),19
White or ST,Divinity,9.5
White or ST,Oryx's Escutcheon,9.5
White or ST,Gladiator Guard,9.5
White or ST,Exalted God's Horn,9.5
White or ST,Divinity (shiny),19
White or ST,Oryx's Escutcheon (shiny),19
White or ST,Gladiator Guard (shiny),19
White or ST,Exalted God's Horn (shiny),19
White or ST,Harmonious Harp,9.5
White or ST,Angel's Fanfare,9.5
White or ST,Wings of Sanctity,9.5
White or ST,Heavenly Halo,9.5

White or ST,Maw of Malignance,5.5
White or ST,Recurring Terror Spell,5.5
White or ST,Scepter of Devastation,5.5
White or ST,Tome of Pain,5.5
White or ST,Recurring Terror Spell (shiny),11
White or ST,Scepter of Devastation (shiny),11
White or ST,Tome of Pain (shiny),11
White or ST,Symbiotic Ripper,5.5
White or ST,Parasitic Concoction,5.5
White or ST,Rags of the Host,5.5
White or ST,Hivemind Circlet,5.5

White or ST,Marionette Ravager,4.0
White or ST,Prism of Dancing Swords,4.0
White or ST,Harlequin Armor,4.0
White or ST,Marionette Ravager (shiny),8
White or ST,Prism of Dancing Swords (shiny),8
White or ST,Harlequin Armor (shiny),8
White or ST,Magic Wand,4.0
White or ST,Lightshow Scepter,4.0
White or ST,Magician's Robe,4.0
White or ST,Performer's Hat,4.0
Skin,Puppet Master Skin,0
Skin,Jester Skin,0

White or ST,Thousand Shot,5.5
White or ST,Prism of Dire Instability,5.5
White or ST,Thousand Shot (shiny),11
White or ST,Prism of Dire Instability (shiny),11
Skin,Jaco Pet Skin,0

White or ST,Tlatoani's Shroud,6.5
White or ST,Tezcacoatl's Tail,6.5
White or ST,Sealed Crystal Skull,6.5
White or ST,Penetrating Blast Spell,6.5
White or ST,Tlatoani's Shroud (shiny),13
White or ST,Tezcacoatl's Tail (shiny),13
White or ST,Sealed Crystal Skull (shiny),13
White or ST,Penetrating Blast Spell (shiny),13
White or ST,Reikoku,6.5
White or ST,Daybreak Chakram,6.5
White or ST,Hirejou Tenne,6.5
White or ST,Heavenly Magatama,6.5
Skin,Good Mask Spirit Pet Skin,0
Skin,Evil Mask Spirit Pet Skin,0

UT,Snakeskin Shield,0
White or ST,Wand of the Bulwark,2.5
White or ST,Snake Charmer Pungi,2.5
White or ST,Snakeskin Armor,2.5
White or ST,Snake Eye Ring,2.5
UT,Snakeskin Shield (shiny),0
White or ST,Wand of the Bulwark (shiny),5
White or ST,Snake Charmer Pungi (shiny),5
White or ST,Snakeskin Armor (shiny),5
White or ST,Snake Eye Ring (shiny),5
Skin,Mini Stheno Skin,0
Skin,Mini Flying Stheno Pet Skin,0

White or ST,Tools of the Tarnished,8.0
White or ST,Wretched Rags,8.0
White or ST,Sinister Syringes,8.0
White or ST,Cackling Straitjacket,8.0
White or ST,Command Cornea,8.0
White or ST,Ocular Entrapment,8.0
White or ST,Overwhelming Axehead,8.0
White or ST,Motivational Megaphone,8.0
White or ST,Damnation,8.0
White or ST,Vial of Soul Extract,8
White or ST,Wretched Rags (shiny),16
White or ST,Tools of the Tarnished (shiny),16.0
White or ST,Ocular Entrapment (shiny),16
White or ST,Motivational Megaphone (shiny),16
White or ST,Damnation (shiny),16.0
White or ST,Vial of Soul Extract (shiny),16
Skin,Penitent Frog Pet Skin,0

White or ST,Staff of Extreme Prejudice,2.5
White or ST,Cloak of the Planewalker,2.5
White or ST,Mace of the Celestial Forest,2.5
UT,Sprite Wand,0
White or ST,Staff of Extreme Prejudice (shiny),5
White or ST,Cloak of the Planewalker (shiny),5
White or ST,Mace of the Celestial Forest (shiny),5
UT,Sprite Wand (shiny),0
Skin,Mini Limon Pet Skin,0
Skin,Sprite Star Pet Skin,0

White or ST,Sulfuric Stone,6.0
White or ST,Bogwood Crook,6.0
White or ST,Brambletooth Tachi,6.0
White or ST,Warped Mantle,6.0
White or ST,Thistleleaf Necklace,6.0
White or ST,Bogwood Crook (shiny),12
White or ST,Brambletooth Tachi (shiny),12
White or ST,Warped Mantle (shiny),12
White or ST,Thistleleaf Necklace (shiny),12.0
Skin,Swamped Panda Pet Skin,0
Skin,Bogged Panda Pet Skin,0

White or ST,Silken Sigil,5.5
White or ST,Spider Silk Bow,5.5
White or ST,Doku No Ken,5.5
White or ST,Mace of the Depths,5.5
White or ST,Spider Silk Bow (shiny),11
White or ST,Doku No Ken (shiny),11
White or ST,Mace of the Depths (shiny),11

UT,Blue Beehemoth Armor,0
UT,Red Beehemoth Armor,0
UT,Yellow Beehemoth Armor,0
White or ST,Queen's Stinger,7.0
White or ST,Combcutter Kunai,7.0
White or ST,Swarmlord's Sigil,7
White or ST,Hivemaster Helm,7.0
White or ST,Hivemind Mace,7.0
White or ST,Beekeeper's Flamethrower,7.0
White or ST,Queen's Stinger (shiny),14
White or ST,Hivemaster Helm (shiny),14
White or ST,Beekeeper's Flamethrower (shiny),14
White or ST,Nectar Crossfire,7.0
White or ST,Honeytomb Snare,7.0
White or ST,Apiary Armor,7.0
White or ST,Honey Circlet,7.0
Skin,Killer Bee Queen Pet Skin,0

UT,Green Beehemoth Armor,0
White or ST,Green Beehemoth Quiver,8.5
White or ST,Green Beehemoth Quiver (shiny),17

White or ST,Royal Guard's Cuirass,10.0
White or ST,Valor,10.0
White or ST,Vanguard's Visage,10.0
White or ST,Sentinel's Sidearm,10.0
White or ST,Bracer of the Guardian,10.0
White or ST,Vest of Abandoned Shadows,10.0
White or ST,Dusky Catalyst,10.0
White or ST,Primal Arcana,10.0
White or ST,Polarity Poison,10.0
White or ST,The Twilight Gemstone,10.0
White or ST,Mantle of the Monarchy,10.0
White or ST,Warmonger,10.0
White or ST,Peacekeeper,10.0
White or ST,Noble Mandolin,10.0
White or ST,The Forgotten Crown,10.0
White or ST,The Forgotten Ring,10.0
White or ST,Chrysalis of Eternity,20.0
White or ST,Royal Guard's Cuirass (shiny),20
White or ST,Valor (shiny),20
White or ST,Vanguard's Visage (shiny),20
White or ST,Sentinel's Sidearm (shiny),20
White or ST,Bracer of the Guardian (shiny),20
White or ST,Vest of Abandoned Shadows (shiny),20
White or ST,Dusky Catalyst (shiny),20
White or ST,Primal Arcana (shiny),20
White or ST,Polarity Poison (shiny),20
White or ST,The Twilight Gemstone (shiny),20
White or ST,Warmonger (shiny),20
White or ST,Peacekeeper (shiny),20
White or ST,Noble Mandolin (shiny),20
White or ST,The Forgotten Crown (shiny),20
White or ST,Corruption Tether,10.0
White or ST,Ancient Eminence,10.0
White or ST,Twilight Shroud,10.0
White or ST,Defiled Equilibrium,10.0
White or ST,Archangel's Judgement,10.0
White or ST,Daevite Progenitor,10.0
White or ST,Seraphim's Guard,10.0
White or ST,Flames of Genesis,10.0
White or ST,Fallen One's Blade,10.0
White or ST,Abyssal Insignia,10.0
White or ST,Vortex Plating,10.0
White or ST,Eye of the Void,10.0
Skin,Sentinel Watchdog Skin,0
Skin,Shadow Stormbird Pet Skin,0
Skin,Royal Void Cat Pet Skin,0

White or ST,The Right Hook,5.5
White or ST,Tipsy Topper,5.5
White or ST,Double Vision Darts,5.5
White or ST,Cask Corslet,5.5
White or ST,Brewer's Bangle,5.5
White or ST,The Right Hook (shiny),11
White or ST,Tipsy Topper (shiny),11
White or ST,Double Vision Darts (shiny),11
White or ST,Cask Corslet (shiny),11
White or ST,Brewer's Bangle (shiny),11

White or ST,Shadow Serpent Sidearm,6.0
White or ST,Cloak of Cubic Enigma,6.0
White or ST,Seal of Cubic Conundra,6.0
White or ST,Cloak of Cubic Enigma (shiny),12
White or ST,Seal of Cubic Conundra (shiny),12
White or ST,Squaroid Staff,6.0
White or ST,Cubic Frame,6.0
White or ST,Polygonal Garbs,6.0
White or ST,Cuband,6.0
White or ST,Morning Square,6.0
White or ST,The Triangle,6.0
White or ST,Ring of Cubed Wisdom,6.0
White or ST,Shadow Serpent Sidearm (shiny),12

White or ST,Ring of the Pyramid,6.0
White or ST,Ring of the Sphinx,6.0
White or ST,Ring of the Nile,6.0
White or ST,Tome of Holy Protection,6.0
White or ST,Pharaoh's Requiem,6.0
White or ST,Ring of the Pyramid (shiny),12
White or ST,Ring of the Sphinx (shiny),12.0
White or ST,Ring of the Nile (shiny),12
White or ST,Tome of Holy Protection (shiny),12
White or ST,Pharaoh's Requiem (shiny),12
White or ST,Wand of Geb,6.0
White or ST,Book of Geb,6.0
White or ST,Shendyt of Geb,6.0
White or ST,Geb's Ring of Wisdom,6.0
Skin,Mini Nut Archer Skin,0
Skin,Mini Geb Skin,0
Skin,Bes' Artifact,0
Skin,Nut's Artifact,0
Skin,Geb's Artifact,0
Skin,Tomb Snake Skin Unlocker,0

White or ST,Void Blade,4.0
White or ST,Murky Toxin,4.0
White or ST,Void Blade (shiny),8
White or ST,Murky Toxin (shiny),8
White or ST,Toxin Tooth,4.0
White or ST,Virulent Venom,4.0
White or ST,Acidic Armor,4.0
White or ST,Pernicious Peridot,4.0
Skin,Slurp Knight Skin,0
Skin,Turtle Pet Skin,0

White or ST,Doom Bow,3.5
White or ST,Spectral Sword,3.5
White or ST,Wandering Souls Spell,3.5
White or ST,Ring of Skeletal Specters,3.5
White or ST,Doom Bow (shiny),7
White or ST,Spectral Sword (shiny),7
White or ST,Wandering Souls Spell (shiny),7
White or ST,Ring of Skeletal Specters (shiny),7
White or ST,Edictum Praetoris,3.5
White or ST,Toga Picta,3.5
White or ST,Memento Mori,6.0
White or ST,Interregnum,6.0
Skin,Possessed Staff Pet Skin,0

White or ST,Spirit's Bane,6
White or ST,Bow of the Morning Star,6

White or ST,Leaf Bow,5
White or ST,Elder Heartwood Staff,5.5
White or ST,Wakizashi of Eastern Winds,5.5
White or ST,Labyrinth Dweller's Sheath,5.5
White or ST,Leaf Bow (shiny),11
White or ST,Wakizashi of Eastern Winds (shiny),11
White or ST,Labyrinth Dweller's Sheath (shiny),11
Skin,Woodland Huntress Skin,0
Skin,Blessed Blade Pet Skin,0


UT,Corsair Ring,0
UT,Corsair Ring (shiny),0
Skin,Scallywag Slurp Pet Skin,0

UT,Bramble Bow,0
UT,Cocoon Quiver,0
UT,Cocoon Quiver (shiny),0
UT,Bramble Bow (shiny),0
Skin,Sapling Buddy Pet Skin,0

UT,Poison Fang Dagger,0
UT,Spider Shuriken,0
UT,Spider's Eye Ring,0
UT,Spider's Eye Ring (shiny),0
UT,Spider Shuriken (shiny),0
UT,Poison Fang Dagger (shiny),0
Skin,Eggshell Spider Pet Skin,0

UT,Staff of the Crystal Serpent,0
UT,Cracked Crystal Skull,0
UT,Robe of the Tlatoani,0
UT,Crystal Bone Ring,0
UT,Crystal Bone Ring (shiny),0
UT,Robe of the Tlatoani (shiny),0
UT,Cracked Crystal Skull (shiny),0
UT,Staff of the Crystal Serpent (shiny),0
Skin,Baby Basilisk Pet Skin,0

UT,Orb of Sweet Demise,0
UT,Honey Scepter,0
